,TarMAC+CAVE: mean,TarMAC+CAVE: max,TarMAC+CAVE: min,TarMAC+CAVE: values,TarMAC+CAVE vs IC3Net: t_stat,TarMAC+CAVE vs IC3Net: t_p_value,TarMAC+CAVE vs IC3Net: wilcoxon_stat,TarMAC+CAVE vs IC3Net: wilcoxon_p_value,TarMAC+CAVE vs CommNet: t_stat,TarMAC+CAVE vs CommNet: t_p_value,TarMAC+CAVE vs CommNet: wilcoxon_stat,TarMAC+CAVE vs CommNet: wilcoxon_p_value,TarMAC+CAVE vs TarMAC: t_stat,TarMAC+CAVE vs TarMAC: t_p_value,TarMAC+CAVE vs TarMAC: wilcoxon_stat,TarMAC+CAVE vs TarMAC: wilcoxon_p_value,IC3Net: mean,IC3Net: max,IC3Net: min,IC3Net: values,IC3Net vs TarMAC+CAVE: t_stat,IC3Net vs TarMAC+CAVE: t_p_value,IC3Net vs TarMAC+CAVE: wilcoxon_stat,IC3Net vs TarMAC+CAVE: wilcoxon_p_value,IC3Net vs CommNet: t_stat,IC3Net vs CommNet: t_p_value,IC3Net vs CommNet: wilcoxon_stat,IC3Net vs CommNet: wilcoxon_p_value,IC3Net vs TarMAC: t_stat,IC3Net vs TarMAC: t_p_value,IC3Net vs TarMAC: wilcoxon_stat,IC3Net vs TarMAC: wilcoxon_p_value,CommNet: mean,CommNet: max,CommNet: min,CommNet: values,CommNet vs TarMAC+CAVE: t_stat,CommNet vs TarMAC+CAVE: t_p_value,CommNet vs TarMAC+CAVE: wilcoxon_stat,CommNet vs TarMAC+CAVE: wilcoxon_p_value,CommNet vs IC3Net: t_stat,CommNet vs IC3Net: t_p_value,CommNet vs IC3Net: wilcoxon_stat,CommNet vs IC3Net: wilcoxon_p_value,CommNet vs TarMAC: t_stat,CommNet vs TarMAC: t_p_value,CommNet vs TarMAC: wilcoxon_stat,CommNet vs TarMAC: wilcoxon_p_value,TarMAC: mean,TarMAC: max,TarMAC: min,TarMAC: values,TarMAC vs TarMAC+CAVE: t_stat,TarMAC vs TarMAC+CAVE: t_p_value,TarMAC vs TarMAC+CAVE: wilcoxon_stat,TarMAC vs TarMAC+CAVE: wilcoxon_p_value,TarMAC vs IC3Net: t_stat,TarMAC vs IC3Net: t_p_value,TarMAC vs IC3Net: wilcoxon_stat,TarMAC vs IC3Net: wilcoxon_p_value,TarMAC vs CommNet: t_stat,TarMAC vs CommNet: t_p_value,TarMAC vs CommNet: wilcoxon_stat,TarMAC vs CommNet: wilcoxon_p_value
0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0
1,79.998,79.999788854382,79.996211145618,"[80.0, 79.99, 80.0, 80.0, 80.0]",-0.9999999999971578,0.826703246455686,0.0,0.8413447460685429,-0.9999999999971578,0.826703246455686,0.0,0.8413447460685429,-0.9999999999971578,0.826703246455686,0.0,0.8413447460685429,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",0.9999999999971578,0.173296753544314,1.0,0.15865525393145707,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",0.9999999999971578,0.173296753544314,1.0,0.15865525393145707,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",0.9999999999971578,0.173296753544314,1.0,0.15865525393145707,,,,1.0,,,,1.0
2,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0
3,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0
4,79.994,79.999366563146,79.988633436854,"[79.97, 80.0, 80.0, 80.0, 80.0]",-1.0,0.8267032464563329,0.0,0.8413447460685429,-0.6324555320343949,0.7276313495979777,1.0,0.6726395769907115,-1.0,0.8267032464563329,0.0,0.8413447460685429,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",1.0,0.17329675354366708,1.0,0.15865525393145707,0.9999999999971578,0.173296753544314,1.0,0.15865525393145707,,,,1.0,79.998,79.999788854382,79.996211145618,"[80.0, 80.0, 80.0, 80.0, 79.99]",0.6324555320343949,0.2723686504020223,2.0,0.32736042300928847,-0.9999999999971578,0.826703246455686,0.0,0.8413447460685429,-0.9999999999971578,0.826703246455686,0.0,0.8413447460685429,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",1.0,0.17329675354366708,1.0,0.15865525393145707,,,,1.0,0.9999999999971578,0.173296753544314,1.0,0.15865525393145707
5,79.99,79.99894427190999,79.98105572809,"[79.95, 80.0, 80.0, 80.0, 80.0]",-1.0000000000005682,0.8267032464564623,0.0,0.8413447460685429,-1.0000000000005682,0.8267032464564623,0.0,0.8413447460685429,-1.0000000000005682,0.8267032464564623,0.0,0.8413447460685429,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",1.0000000000005682,0.17329675354353774,1.0,0.15865525393145707,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",1.0000000000005682,0.17329675354353774,1.0,0.15865525393145707,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",1.0000000000005682,0.17329675354353774,1.0,0.15865525393145707,,,,1.0,,,,1.0
6,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0
7,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0
8,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0
9,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0,80.0,80.0,80.0,"[80.0, 80.0, 80.0, 80.0, 80.0]",,,,1.0,,,,1.0,,,,1.0
